targetID,frameIndex,cameraID,expectedX,expectedY,actualX,actualY
1,3677,21,846.87932331,114.04294272,844.82812500,111.57812500
1,5085,3,1208.91898914,249.98769152,1209.37500000,247.76562500
1,4926,6,186.99385137,114.08011574,184.94531250,116.62500000
1,654,16,360.92323888,146.19648715,362.21875000,141.63281250
1,1116,7,70.04900327,923.07201428,75.03125000,920.48437500
1,1285,1,516.14947844,307.14552267,513.78906250,304.49218750
1,2954,5,900.95654043,949.66410921,901.45312500,952.64843750
1,4316,9,265.56298213,144.23640751,263.78906250,141.14843750
1,4627,6,754.16641413,790.15471416,755.29687500,793.15625000
1,4156,14,1170.45864107,437.82740067,1173.37500000,440.85156250
1,3297,2,669.95118481,69.92898568,676.27343750,65.85156250
1,2302,14,1059.95400884,69.88042424,1060.51562500,73.67968750
1,3117,5,488.90795782,953.09559919,486.17968750,956.12500000
1,968,10,1048.93087224,672.95107052,1052.84375000,676.86718750
1,1428,4,1151.91763091,893.99119103,1149.24218750,896.27343750
1,352,16,279.10460667,952.91506159,276.79687500,952.22656250
1,2455,14,126.90599340,907.94885313,127.51562500,903.99218750
1,825,13,123.61519614,621.81460382,119.56250000,617.17187500
1,2121,20,1158.66486814,907.27862434,1153.32812500,909.23437500
1,1589,1,969.04754059,952.89831528,973.79687500,953.04687500
1,1,19,69.95394955,70.00771888,69.03125000,71.50781250
1,2808,8,1119.88229734,69.97711671,1120.68750000,73.06250000
1,512,13,279.97683842,70.02758130,283.26562500,66.82812500
1,1966,20,349.09179531,192.90022738,342.17187500,188.23437500
1,4465,15,815.33875193,753.66099540,816.58593750,758.06250000
1,3484,2,1049.00740354,192.96678548,1056.60156250,196.14062500
1,4002,21,1077.87703735,896.38127932,1075.00000000,897.64843750
1,4784,9,605.10762167,538.02656451,605.37500000,538.57031250
1,182,16,884.16131421,746.84702416,886.51562500,751.92968750
1,3847,17,113.06152764,901.33648898,110.81250000,899.07812500
1,2619,14,971.19000181,909.86378759,971.75781250,912.75781250
1,1810,21,95.01550625,284.64899495,85.80468750,281.89062500
1,654,13,906.91212758,113.94594078,910.78906250,114.40625000
1,2955,8,311.97743281,908.01305834,311.46093750,906.88281250
1,3485,2,1048.93573040,313.02161792,1056.47656250,316.33593750
1,2,19,99.90376495,70.07832761,97.92968750,70.82812500
1,2121,17,129.07296345,953.05164965,128.37500000,951.30468750
1,825,10,1209.07922924,952.89841882,1204.08593750,953.35937500
1,4317,12,1030.11840043,70.01742810,1029.77343750,69.25781250
1,3118,8,811.57597832,903.96453977,812.53125000,906.71093750
1,4156,15,69.91748745,442.95927585,69.00781250,439.98437500
1,4628,9,518.98962174,952.97294986,517.45312500,956.82812500
1,1116,4,1155.58916789,647.38413949,1156.73437500,650.72656250
1,1967,20,469.00155457,192.91279487,462.63281250,187.67187500
1,1590,1,938.92360881,952.93268055,944.07031250,953.66406250
1,969,13,217.10650745,810.64796316,211.32031250,807.90625000
1,513,16,915.95905996,343.58577668,921.71093750,343.49218750
1,3678,21,906.99941848,113.99144660,905.21875000,112.48437500
1,4465,12,431.91576076,907.90355404,431.50000000,909.96875000
1,4002,18,228.94271960,708.06352805,224.24218750,706.68750000
1,2456,14,126.95539842,847.97023668,126.71875000,845.19531250
1,4785,9,629.10844736,502.94237583,630.02343750,503.00000000
1,1811,20,1208.96346055,309.89219378,1206.46875000,311.57812500
1,2809,11,125.31034596,102.17249579,126.05468750,107.26562500
