targetID,frameIndex,cameraID,rotationZ,rotationX,expectedX,expectedY,actualX,actualY
1,995,2,-94.31180000,-18.71570000,85.77157101,936.06210053,91.05468750,934.76562500
1,2261,15,35.94330000,31.96230000,607.52575883,292.19793090,605.91406250,290.38281250
1,1565,12,6.33063000,17.27050000,1139.28568952,692.14565855,1142.47656250,691.46093750
1,2926,3,-77.08250000,50.05240000,1171.88340351,447.98993496,1173.73437500,446.53906250
1,2825,9,-30.04150000,19.18330000,199.99750501,616.99965536,196.37500000,613.16406250
1,403,10,7.70264000,-47.63470000,992.73657971,668.11216457,999.96093750,669.18750000
1,1112,19,69.78260000,-20.44820000,1146.65203414,878.30451993,1138.45312500,877.21875000
1,1475,14,23.85940000,-15.67270000,199.99889223,616.99946154,200.01562500,620.67187500
1,2546,15,26.27910000,32.06950000,602.00092561,539.99903034,601.00781250,540.51562500
1,509,14,15.50420000,-17.40580000,133.18404008,878.62634087,137.50781250,879.67187500
1,1,19,106.08600000,-53.42680000,30.00113340,29.99841373,40.14843750,33.69531250
1,2153,21,64.49430000,24.61450000,409.00036937,993.00129483,405.65625000,991.86718750
1,219,16,52.51560000,-17.56680000,30.00017816,453.00046992,34.30468750,453.47656250
1,2637,8,-13.50930000,15.41540000,1198.85301580,99.30286842,1194.83593750,102.46093750
1,1739,9,-20.41840000,15.43100000,77.49954852,323.97974087,79.35156250,318.25000000
1,1664,11,-11.39870000,3.55084000,472.74334977,143.54493758,473.80468750,141.62500000
1,317,16,43.49490000,-24.11570000,259.01583458,191.74585255,260.18750000,191.92187500
1,2348,21,69.97920000,26.04880000,436.88629888,829.29053752,431.14843750,831.19531250
1,2741,9,-48.80130000,46.57880000,1128.99977702,992.99936777,1122.89843750,992.53125000
1,1294,17,67.35580000,-18.55300000,1188.00049539,917.99864933,1186.13281250,917.12500000
1,2454,15,10.68330000,22.96260000,349.00099919,993.00160332,350.44531250,990.96875000
1,883,4,-45.05450000,-26.59640000,331.99915966,753.00039564,331.50781250,757.41406250
1,605,10,-4.83325000,-46.34130000,948.54697515,393.09992917,954.80468750,390.29687500
1,1392,14,11.97460000,11.59180000,1069.00049921,993.00105220,1071.97656250,986.50000000
1,3024,3,-61.95830000,50.94400000,1248.99798376,150.00002407,1242.46875000,153.22656250
1,110,19,90.70400000,-53.85770000,91.00132767,343.99900304,86.55468750,343.95312500
1,798,7,-34.52040000,-37.49250000,602.12594908,717.59200090,602.53125000,721.50000000
1,2026,5,-65.51020000,-20.18520000,1241.47518019,143.00281011,1232.83593750,146.03906250
1,1914,5,-64.87670000,4.69067000,439.99981740,164.00021176,436.75781250,161.62500000
1,694,7,-39.41480000,-18.81630000,1188.00027818,918.00011858,1188.94531250,912.53906250
1,996,1,-94.84130000,-22.21730000,1068.00198063,943.99946099,1071.72656250,942.15625000
1,1220,17,39.02980000,-17.87250000,1170.00026686,30.00097005,1169.82812500,33.71875000
1,404,13,6.66504000,-51.11520000,108.00053379,944.00001516,112.10156250,937.39062500
1,2262,18,36.33400000,30.10740000,689.99902605,30.00030013,691.24218750,29.31250000
1,2826,9,-21.93440000,19.15430000,200.00048253,376.99948281,198.81250000,372.07031250
1,1838,4,-38.45610000,-20.15230000,135.47810051,978.42385492,143.37500000,977.49218750
1,2,19,105.39100000,-51.76760000,90.00067383,29.99708200,90.06250000,34.36718750
1,2547,15,27.73650000,32.92160000,627.99907856,502.99971701,627.06250000,503.15625000
1,1112,16,69.78260000,-20.44820000,148.85799382,985.35776463,154.25000000,980.38281250
1,1566,11,4.39105000,17.32190000,30.00083902,632.99921073,33.23437500,632.40625000
1,1740,8,-24.30210000,15.51370000,1188.00141314,437.99914174,1189.35937500,435.50781250
1,2153,18,64.49430000,24.61450000,889.43078360,793.96072659,892.05468750,796.43750000
1,219,17,52.51560000,-17.56680000,1141.30416463,455.48427838,1146.45312500,456.34375000
1,2927,6,-74.46910000,48.75460000,90.99791865,77.99907439,95.19531250,82.60937500
1,1476,14,31.66610000,-15.65720000,200.00139263,376.99883530,196.68750000,380.03906250
1,509,11,15.50420000,-17.40580000,1149.77264188,984.86458435,1149.20312500,980.57812500
1,2454,12,10.68330000,22.96260000,946.95045755,805.73247403,950.76562500,805.86718750
1,2348,18,69.97920000,26.04880000,828.00001420,944.00021650,829.09375000,945.76562500
1,884,4,-61.95070000,-26.59530000,332.00006635,272.99989892,328.12500000,274.38281250
1,1664,8,-11.39870000,3.55084000,809.99897352,30.00012269,807.90625000,28.95312500
